Channel,Energy (keV),Counts
1134,460.70408,90
1135,461.107695,93
1136,461.51131,79
1137,461.914925,97
1138,462.31854,78
1139,462.722155,70
1140,463.12577,85
1141,463.529385,81
1142,463.933,78
1143,464.336615,85
1144,464.74023,74
1145,465.143845,69
1146,465.54746,95
1147,465.951075,75
1148,466.35469,88
1149,466.758305,71
1150,467.16192,80
1151,467.565535,79
1152,467.96915,90
1153,468.372765,89
1154,468.77638,76
1155,469.179995,98
1156,469.58361,74
1157,469.987225,84
1158,470.39084,86
1159,470.794455,101
1160,471.19807,109
1161,471.601685,87
1162,472.0053,95
1163,472.408915,82
1164,472.81253,102
1165,473.216145,96
1166,473.61976,72
1167,474.023375,79
1168,474.42699,70
1169,474.830605,85
1170,475.23422,72
1171,475.637835,90
1172,476.04145,95
1173,476.445065,79
1174,476.84868,76
1175,477.252295,71
1176,477.65591,95
1177,478.059525,85
1178,478.46314,80
1179,478.866755,78
1180,479.27037,104
1181,479.673985,70
1182,480.0776,76
1183,480.481215,99
1184,480.88483,79
1185,481.288445,87
1186,481.69206,95
1187,482.095675,93
1188,482.49929,81
1189,482.902905,88
1190,483.30652,88
1191,483.710135,80
1192,484.11375,91
1193,484.517365,84
1194,484.92098,69
1195,485.324595,92
1196,485.72821,79
1197,486.131825,66
1198,486.53544,101
1199,486.939055,85
1200,487.34267,83
1201,487.746285,87
1202,488.1499,84
1203,488.553515,83
1204,488.95713,80
1205,489.360745,73
1206,489.76436,72
1207,490.167975,83
1208,490.57159,81
1209,490.975205,69
1210,491.37882,80
1211,491.782435,81
1212,492.18605,87
1213,492.589665,82
1214,492.99328,63
1215,493.396895,83
1216,493.80051,79
1217,494.204125,89
1218,494.60774,91
1219,495.011355,80
1220,495.41497,86
1221,495.818585,91
1222,496.2222,84
1223,496.625815,94
1224,497.02943,70
1225,497.433045,67
1226,497.83666,84
1227,498.240275,98
1228,498.64389,81
1229,499.047505,86
1230,499.45112,96
1231,499.854735,95
1232,500.25835,95
1233,500.661965,78
1234,501.06558,77
1235,501.469195,80
1236,501.87281,91
1237,502.276425,89
1238,502.68004,80
1239,503.083655,86
1240,503.48727,96
1241,503.890885,84
1242,504.2945,116
1243,504.698115,126
1244,505.10173,166
1245,505.505345,197
1246,505.90896,306
1247,506.312575,495
1248,506.71619,826
1249,507.119805,1402
